GEOID,county_name,total_pop,median_hh_income,pov_rate,under_200_fpl_pct,uninsured_pct,pct_65_plus,lep_pct,pct_hispanic,pct_black_nh,pct_white_nh,pct_asian_nh,need_score
34035053000,Somerset,4833,102019.0,16.43,28.66,12.52,11.84,5.25,38.07,13.68,41.63,3.0,16.8
34035053102,Somerset,3507,76667.0,7.81,27.29,2.97,16.03,3.94,9.58,29.28,31.37,25.06,13.1
34035053103,Somerset,5881,146714.0,1.31,8.0,3.6,16.31,1.91,16.75,35.27,29.26,12.31,7.2
34035053105,Somerset,8246,126827.0,10.35,17.01,3.16,15.07,5.01,8.16,33.4,30.12,25.09,11.9
34035053200,Somerset,7684,111354.0,4.14,10.39,17.36,11.73,16.33,51.91,32.3,9.21,2.19,15.3
34035053300,Somerset,6353,83021.0,15.84,31.75,21.45,9.68,11.33,41.59,30.9,8.56,12.42,20.8
34035053402,Somerset,6682,144453.0,0.98,8.34,3.44,18.29,0.42,4.88,10.67,36.13,45.27,7.1
34035053403,Somerset,5222,104290.0,10.9,24.51,5.99,11.15,8.85,17.94,18.33,19.23,40.2,14.5
34035053405,Somerset,4476,170799.0,0.65,12.38,11.62,13.11,8.17,9.34,30.14,38.92,20.26,11.1
34035053406,Somerset,6030,118822.0,7.51,11.72,3.08,10.85,5.73,6.83,40.28,18.59,28.89,9.4
34035053501,Somerset,5642,127045.0,5.2,7.65,3.75,33.78,2.95,8.84,16.25,41.37,27.81,12.6
34035053602,Somerset,6424,213328.0,0.93,3.39,2.85,14.52,0.78,8.3,10.35,67.34,10.83,5.2
34035053603,Somerset,4806,149777.0,4.96,8.11,2.0,12.21,2.74,7.64,2.87,78.67,8.41,7.1
34035053604,Somerset,3718,149063.0,5.19,9.92,1.59,18.61,0.93,6.35,8.71,63.8,18.96,8.3
34035053703,Somerset,4246,183807.0,0.94,3.43,1.3,14.15,1.75,14.18,0.78,56.99,26.99,5.2
34035053704,Somerset,3121,198194.0,0.61,1.79,3.88,16.76,0.38,7.21,5.16,72.44,10.86,5.4
34035053705,Somerset,6547,126345.0,1.91,8.52,4.84,12.1,5.1,17.84,3.6,60.81,11.61,7.9
34035053706,Somerset,4632,193049.0,3.78,8.77,2.16,9.95,0.0,7.25,3.3,60.62,25.91,5.4
34035053707,Somerset,4180,220863.0,1.1,2.72,1.78,15.17,2.43,6.12,4.02,67.97,21.05,5.7
34035053801,Somerset,606,139209.0,4.46,5.62,15.18,12.21,3.02,27.89,3.3,60.73,1.32,9.2
34035053804,Somerset,4694,99901.0,4.79,14.68,5.77,15.27,6.85,15.02,1.26,59.29,18.53,11.4
34035053805,Somerset,6405,116787.0,6.09,16.8,3.98,20.69,3.98,6.78,6.74,66.48,17.69,12.0
34035053806,Somerset,2439,179000.0,1.89,3.12,2.34,24.52,3.12,16.2,0.0,59.78,20.38,8.5
34035053807,Somerset,7213,250001.0,2.02,2.79,0.53,11.77,3.65,6.29,2.15,51.62,34.35,5.3
34035053901,Somerset,814,127344.0,4.3,11.06,1.6,17.57,0.63,8.48,0.86,80.71,4.05,8.0
34035053904,Somerset,3503,250001.0,1.49,1.49,0.88,9.56,3.69,4.08,3.74,53.55,33.4,4.5
34035053905,Somerset,6868,219096.0,3.09,3.61,0.23,11.36,6.69,6.22,2.87,35.09,52.93,6.6
34035054100,Somerset,8269,169524.0,2.87,6.61,2.38,15.54,1.95,7.72,3.58,62.7,22.18,6.9
34035054201,Somerset,7096,212992.0,6.1,8.49,1.14,17.91,6.53,5.21,7.0,47.42,39.16,10.0
34035054202,Somerset,6176,242895.0,0.65,1.69,1.53,12.79,3.7,4.32,1.46,54.37,33.82,5.2
34035054301,Somerset,3091,127250.0,1.78,3.98,3.24,64.09,3.84,6.08,8.93,51.86,32.97,18.6
34035054302,Somerset,5553,115417.0,4.02,7.38,2.53,26.13,4.44,12.86,7.08,51.29,27.53,10.8
34013000100,Essex,6075,51554.0,14.07,31.71,10.73,15.93,15.94,69.32,16.0,9.79,1.42,21.4
34013000200,Essex,3741,59839.0,25.26,54.64,23.47,10.32,21.99,72.17,14.76,10.24,0.0,32.0
34013000300,Essex,4316,31693.0,32.04,61.42,13.79,13.62,28.69,62.56,21.78,12.47,0.49,36.2
34013000400,Essex,2611,60357.0,17.32,44.22,19.95,11.26,25.81,77.29,7.35,13.79,1.57,29.0
34013000500,Essex,2146,51622.0,25.3,43.43,17.85,14.03,27.12,70.78,7.27,9.65,8.85,31.4
34013000600,Essex,4146,51164.0,17.9,36.01,16.45,18.81,28.0,64.83,9.0,13.92,0.48,29.4
34013000700,Essex,6530,52794.0,19.53,48.85,10.86,11.27,20.21,50.12,39.95,2.71,0.02,26.5
34013000800,Essex,5089,57578.0,16.15,45.29,27.79,12.01,27.71,84.0,5.23,3.71,2.28,31.3
34013000900,Essex,3210,37896.0,18.6,45.83,14.8,19.94,10.72,59.0,26.36,8.04,2.24,25.1
34013001000,Essex,4042,41063.0,33.58,50.24,17.66,11.78,10.56,45.77,48.52,4.53,0.49,28.1
